annots	wt1	wt2	wt3	wt4	ehet1	ehet2	ehet3	ehom1	ehom2	ehom3	ehom4	khet1	khet2	khet3	khet4	khom1	khom2	khom3	khom4	rhom1	rhom2	rhom3
basal	0.3025257596814154	0.28790460302754844	0.2610989501723883	0.26669202061736974	0.22248745605380302	0.25515303560665	0.24460498115109516	0.19341952551161257	0.24547909864189826	0.24738948867325064	0.24614209402909226	0.2799041513702452	0.4702900867483937	0.3247500102268165	0.25110854354452844	0.2791313776319035	0.23961660676822982	0.2842760990279732	0.3279735671704526	0.22115456990223809	0.19420060936690492	0.18844345642202287
chr1-105679469-105679602_peak.288_NotDB_WT	0.055951258540038816	0.055075838525353756	0.05135446478786048	0.036935407946727374	0.07248682731446782	0.05621828016946099	0.12293856570516792	0.08628726483309422	0.054984234454432214	0.04764403566448494	0.08759794571994363	0.034686577820463464	0.029991226355826194	0.014099524566157987	0.061424452664776315	0.04196681466638706	0.011671492728725934	0.060034416101120425	0.01738106410521502	0.11342456006058539	0.10186435193446555	0.06301292879014501
chr1-105679469-105679602_peak.288_NotDB_mutM	0.1925789552259844	0.18489960598171967	0.11470731538854242	0.2533134753657805	0.19193632564630594	0.23556290273024916	0.23765646882635172	0.25105635872042453	0.21382611339767552	0.22758894803378218	0.2373041385511058	0.19775153243109544	0.17982532734980963	0.2010758505761196	0.1425569956532794	0.10695108468338864	0.09696926564122132	0.06455159752503431	0.21718503942160533	0.15804029087641633	0.27214302590300393	0.2394807168641298
chr1-106663511-106663644_peak.290_EGain_WT	0.04176503158940212	0.052794440117389034	0.06311496165299631	0.040811485746167935	0.0012737771342372448	0.021596960494921606	0.05681353423718729	0.021386025629062635	0.01327724280992904	0.02119056155118023	0.025848653839760816	0.08504312223725681	0.08652373236225924	0.09096467946394517	0.10139623402813791	0.11152115834390247	0.09051950665747267	0.07116643193278462	0.06785486139777495	0.053835951849895584	0.07644193332356612	0.10085492541319604
chr1-106663511-106663644_peak.290_EGain_mutM	0.3033966598852777	0.282096382364541	0.24126708163685104	0.22409233256992453	0.2632713417013368	0.2091364903652192	0.28270392507870334	0.23034652606330727	0.23540702914365066	0.18761241826092065	0.17542068489525525	0.2825227625468924	0.27976402526140165	0.28710216467929184	0.32068908410620456	0.2312246732313393	0.28229665041624585	0.2678022769661866	0.2484766702672983	0.30570753133077533	0.19410621798875477	0.2107149319266499
chr1-120961980-120962113_peak.305_EGain_WT	0.39865026104016127	0.5525371814870612	0.4788399252276648	0.4729144722738641	0.28521301717100095	0.3677703455086737	0.39636041680196843	0.06859524236075076	0.13599519275847297	0.22191207064625315	0.1545290354768225	0.461339265636014	0.6694307505073578	0.47020623645861365	0.31902470331910543	0.6017308554561341	0.9576310398990102	0.9836524440678818	0.4618662585963116	0.9378068155003674	0.8055306780475686	0.8215457408682685
chr1-120961980-120962113_peak.305_EGain_mutM	0.26769954581717137	0.23629686509156783	0.2518793381238182	0.25429871329879133	0.29641141468771565	0.2915068213956358	0.2188803409683456	0.2112570055063416	0.26542631768453284	0.3158427743011824	0.3272104404216678	0.25698313486627794	0.36456216396711416	0.35106016832723885	0.3149943570698849	0.3161613565752147	0.2522775793042861	0.1825998256216344	0.19691629815840256	0.2630463118877545	0.24573356832527618	0.15580447170208359
chr1-125337502-125337635_peak.307.shuff_NotDB_scrambled	0.2381477062813616	0.25896574236238235	0.21257704489790727	0.2874994152477323	0.261444759585125	0.25466270138744945	0.21539424490604747	0.18527175330526927	0.22850554526132422	0.2529246443016426	0.22843025295901243	0.25378437809521115	0.31612091478903714	0.30508599590431434	0.27456725486790867	0.25869876708990847	0.3947177153543384	0.3031212442992547	0.22865234952677152	0.15924798778647234	0.19617392453079613	0.27341521046537937
chr1-126431154-126431287_peak.309_NotDB_WT	0.0	0.14825139404768267	0.0	0.15241512550256836	0.07809515497663215	0.22698987330667067	0.0	0.0	0.0	0.0	0.5493898831087465	0.08669907000194019	0.0	1.367798572965681	0.0	0.8175094320511814	0.0	0.0	0.0	0.0	0.3384055046211243	0.0
chr1-126431154-126431287_peak.309_NotDB_mutM	0.0970868547533128	0.48679144783029815	0.0	0.500463284620235	0.9165996113790463	0.3083530991095516	0.13124415643306653	0.0	1.034003828043133	0.5334771371869867	0.0	0.9388418338320628	0.5008186163830726	0.17063983215296322	0.23728097882844476	0.3842183499737126	0.0	0.0	0.7520647436215255	0.8359058131286781	0.4503232929137731	1.332676129609297
